n1,n2,n3,n4,Tiempo
8,8,8,8,2724
8,8,8,8,2478
8,8,8,8,2467
16,16,16,16,17703
16,16,16,16,17309
16,16,16,16,17514
32,32,32,32,136466
32,32,32,32,133442
32,32,32,32,134114
64,64,64,64,1036574
64,64,64,64,1008498
64,64,64,64,1031618
128,128,128,128,9411024
128,128,128,128,8764206
128,128,128,128,8478641
256,256,256,256,71310285
256,256,256,256,70726957
256,256,256,256,69114203
512,512,512,512,616613439
512,512,512,512,610554774
512,512,512,512,625482183
1024,1024,1024,1024,7518813906
1024,1024,1024,1024,7514734795
1024,1024,1024,1024,8326364212
8,8,8,8,3106
8,8,8,8,2470
8,8,8,8,3337
16,16,16,16,17673
16,16,16,16,17621
16,16,16,16,17337
32,32,32,32,135449
32,32,32,32,135010
32,32,32,32,134843
64,64,64,64,1262480
64,64,64,64,1111394
64,64,64,64,1004485
128,128,128,128,8520210
128,128,128,128,9162332
128,128,128,128,8650009
256,256,256,256,73885820
256,256,256,256,73340500
256,256,256,256,72760519
512,512,512,512,687902253
512,512,512,512,704702499
512,512,512,512,702326549
1024,1024,1024,1024,8298046224
1024,1024,1024,1024,9465730729
1024,1024,1024,1024,8520560989
