n1,n2,n3,n4,Tiempo
8,8,8,8,184239
8,8,8,8,166969
8,8,8,8,167464
16,16,16,16,1175013
16,16,16,16,1270188
16,16,16,16,1312106
32,32,32,32,9092064
32,32,32,32,8478986
32,32,32,32,8778977
64,64,64,64,55497761
64,64,64,64,60246444
64,64,64,64,38156277
128,128,128,128,248374921
128,128,128,128,242435267
128,128,128,128,240169302
256,256,256,256,1705086118
256,256,256,256,1880033003
256,256,256,256,1712202932
512,512,512,512,12281908243
512,512,512,512,11490366782
512,512,512,512,11481639737
1024,1024,1024,1024,80707442538
1024,1024,1024,1024,80397105281
1024,1024,1024,1024,80478759557
8,8,8,8,108395
8,8,8,8,90073
8,8,8,8,90265
16,16,16,16,714471
16,16,16,16,666021
16,16,16,16,656430
32,32,32,32,4628031
32,32,32,32,4687788
32,32,32,32,4787862
64,64,64,64,32446027
64,64,64,64,32360024
64,64,64,64,32172376
128,128,128,128,232130395
128,128,128,128,241419290
128,128,128,128,227688108
256,256,256,256,1611956853
256,256,256,256,1625726995
256,256,256,256,1623047840
512,512,512,512,11364306458
512,512,512,512,11297888282
512,512,512,512,11344594132
1024,1024,1024,1024,82406155060
1024,1024,1024,1024,81201414208
1024,1024,1024,1024,79383928617
