n1,n2,n3,n4,Tiempo
8,8,8,8,4450
8,8,8,8,2964
8,8,8,8,2961
16,16,16,16,22171
16,16,16,16,22106
16,16,16,16,20674
32,32,32,32,168863
32,32,32,32,148128
32,32,32,32,144555
64,64,64,64,1091333
64,64,64,64,1151329
64,64,64,64,1112517
128,128,128,128,8855699
128,128,128,128,8628193
128,128,128,128,8597485
256,256,256,256,68087642
256,256,256,256,68062075
256,256,256,256,66330488
512,512,512,512,540687968
512,512,512,512,548868885
512,512,512,512,551343342
1024,1024,1024,1024,4481144508
1024,1024,1024,1024,4481114914
1024,1024,1024,1024,4460274009
8,8,8,8,4203
8,8,8,8,3221
8,8,8,8,3041
16,16,16,16,21119
16,16,16,16,20870
16,16,16,16,21142
32,32,32,32,156726
32,32,32,32,145352
32,32,32,32,146388
64,64,64,64,1093809
64,64,64,64,1105460
64,64,64,64,1305648
128,128,128,128,8610067
128,128,128,128,8701597
128,128,128,128,8475084
256,256,256,256,66848695
256,256,256,256,67141987
256,256,256,256,66551855
512,512,512,512,552030444
512,512,512,512,550611904
512,512,512,512,559211095
1024,1024,1024,1024,4513261131
1024,1024,1024,1024,4456929973
1024,1024,1024,1024,4422746809
