n1,n2,n3,n4,Tiempo
16,8,8,16,10810
16,8,8,16,9439
16,8,8,16,9447
8,16,16,8,4855
8,16,16,8,4564
8,16,16,8,4635
32,16,16,32,72749
32,16,16,32,101661
32,16,16,32,70584
16,32,32,16,35151
16,32,32,16,35273
16,32,32,16,35247
64,32,32,64,894438
64,32,32,64,931635
64,32,32,64,1031540
32,64,64,32,458583
32,64,64,32,459598
32,64,64,32,458916
128,64,64,128,4317461
128,64,64,128,4346707
128,64,64,128,4449582
64,128,128,64,2128900
64,128,128,64,2100203
64,128,128,64,2088166
256,128,128,256,35163822
256,128,128,256,35846558
256,128,128,256,35580219
128,256,256,128,17317784
128,256,256,128,17606008
128,256,256,128,17225016
512,256,256,512,309808428
512,256,256,512,315789651
512,256,256,512,312501191
256,512,512,256,153839805
256,512,512,256,154907900
256,512,512,256,154331926
1024,512,512,1024,3552827161
1024,512,512,1024,3548362732
1024,512,512,1024,3518855665
512,1024,1024,512,2191985042
512,1024,1024,512,1919534162
512,1024,1024,512,1958731746
16,8,8,16,9488
16,8,8,16,9356
16,8,8,16,9170
8,16,16,8,4901
8,16,16,8,4850
8,16,16,8,4770
32,16,16,32,69072
32,16,16,32,69883
32,16,16,32,69157
16,32,32,16,33780
16,32,32,16,33641
16,32,32,16,33678
64,32,32,64,538204
64,32,32,64,594523
64,32,32,64,535754
32,64,64,32,254989
32,64,64,32,255117
32,64,64,32,254817
128,64,64,128,4186324
128,64,64,128,4156291
128,64,64,128,4281721
64,128,128,64,2093091
64,128,128,64,2245322
64,128,128,64,2135368
256,128,128,256,35098187
256,128,128,256,35884626
256,128,128,256,35653630
128,256,256,128,17014208
128,256,256,128,17073354
128,256,256,128,17466936
512,256,256,512,312751486
512,256,256,512,310300166
512,256,256,512,317102589
256,512,512,256,153415077
256,512,512,256,153762432
256,512,512,256,152825172
1024,512,512,1024,3594848824
1024,512,512,1024,3580678275
1024,512,512,1024,3704479755
512,1024,1024,512,1948575467
512,1024,1024,512,1931479444
512,1024,1024,512,2009528643
