Tamaño,Tiempo
10,681
13,601
16,723
19,1423
22,1323
25,1462
28,1762
31,2014
34,2261
37,3275
40,2747
43,3125
46,3556
49,3344
52,3453
55,4196
58,4012
61,4791
64,4652
67,4942
70,5712
73,5940
76,5917
79,6490
82,5429
85,7093
88,7054
91,7418
94,7647
97,8435
100,8035
100,8335
130,12020
160,12739
190,17585
220,22768
250,25670
280,29494
310,29642
340,31874
370,37811
400,37542
430,44804
460,50622
490,45428
520,60751
550,58682
580,63555
610,65138
640,73830
670,75110
700,71708
730,88157
760,84559
790,91395
820,98374
850,96590
880,104786
910,139008
940,110222
970,100000
1000,120205
1000,117448
1300,146169
1600,177241
1900,239116
2200,268779
2500,341476
2800,377822
3100,431940
3400,465799
3700,609675
4000,551278
4300,630992
4600,630305
4900,649077
5200,679890
5500,839288
5800,901792
6100,831455
6400,920138
6700,1364082
7000,1045917
7300,1123324
7600,1189138
7900,1229755
8200,1295240
8500,1276715
8800,1330107
9100,1544347
9400,1613704
9700,1424293
10000,1491233
10000,1569584
13000,2088478
16000,2563513
19000,2867026
22000,3878611
25000,3888409
28000,5240209
31000,5623715
34000,5548440
37000,6696013
40000,7770879
43000,7430435
46000,7680775
49000,9559935
52000,9913533
55000,10729965
58000,10550970
61000,11110925
64000,12396911
67000,12897517
70000,12321643
73000,13897190
76000,14919068
79000,16018501
82000,16103331
85000,15767759
88000,15225053
91000,16085233
94000,16849223
97000,20168881
100000,17596870
