Tamaño,Tiempo
10,2967
13,3821
16,4590
19,5362
22,6012
25,6917
28,8174
31,8897
34,10106
37,10911
40,11310
43,12895
46,13574
49,14594
52,15318
55,17201
58,17247
61,18394
64,18758
67,19628
70,21847
73,22934
76,22957
79,24451
82,24432
85,26240
88,27954
91,28181
94,28519
97,30614
100,30996
100,30318
130,42166
160,50849
190,62154
220,74555
250,83101
280,97044
310,106614
340,115913
370,126494
400,136103
430,149260
460,164739
490,187907
520,214592
550,198207
580,313821
610,363896
640,360494
670,323941
700,278257
730,270221
760,274795
790,325857
820,309704
850,347713
880,375869
910,349130
940,346846
970,348571
1000,401730
1000,435074
1300,506590
1600,605064
1900,758185
2200,1139931
2500,1001191
2800,1117092
3100,1593961
3400,1426960
3700,1551711
4000,1642867
4300,1850982
4600,2034231
4900,2045780
5200,2117926
5500,2338218
5800,2975413
6100,2675145
6400,2773148
6700,3201115
7000,3057993
7300,3194499
7600,3447570
7900,3406593
8200,3718806
8500,3790272
8800,4012760
9100,3973943
9400,4446325
9700,4485354
10000,4524633
10000,4542735
13000,7053857
16000,7815111
19000,9071771
22000,10511971
25000,12142686
28000,12991042
31000,15787165
34000,15923572
37000,18757335
40000,19407491
43000,20597229
46000,22508990
49000,24285328
52000,25801026
55000,28572545
58000,28662342
61000,30483476
64000,32465669
67000,35145762
70000,35201392
73000,37371338
76000,38509132
79000,40595057
82000,42291653
85000,43947815
88000,45570072
91000,47858306
94000,48664481
97000,51569191
100000,53369674
