Tamaño,Tiempo
10,626
13,1044
16,1400
19,1957
22,2350
25,3011
28,2876
31,3110
34,2484
37,4362
40,5361
43,4485
46,3718
49,5191
52,6685
55,4943
58,7924
61,6258
64,13782
67,9251
70,8924
73,6867
76,15000
79,7279
82,22557
85,6806
88,10732
91,9878
94,11378
97,10035
100,12960
100,9841
130,10619
160,22702
190,29073
220,37068
250,59040
280,29483
310,36296
340,71920
370,50051
400,55297
430,47418
460,62510
490,76236
520,62934
550,89313
580,101519
610,75000
640,81335
670,101104
700,118750
730,120661
760,96526
790,119273
820,125499
850,180671
880,117392
910,236031
940,168689
970,189751
1000,141130
1000,157002
1300,228684
1600,250551
1900,280101
2200,357009
2500,630093
2800,712326
3100,570937
3400,926950
3700,794111
4000,770975
4300,832729
4600,1087755
4900,1311078
5200,2552210
5500,1442782
5800,1530095
6100,1357796
6400,1687411
6700,1424522
7000,1677271
7300,1464720
7600,2100369
7900,2332817
8200,2224875
8500,2024319
8800,1909540
9100,2479879
9400,2347780
9700,2920863
10000,3223413
10000,2363194
13000,2793370
16000,4237526
19000,5327173
22000,5999596
25000,7274065
28000,8959735
31000,7356011
34000,10903085
37000,12016996
40000,11408091
43000,13006159
46000,16715653
49000,13921114
52000,17919991
55000,14002881
58000,18782576
61000,15381332
64000,16338120
67000,20622208
70000,25794956
73000,19956989
76000,22363812
79000,20806916
82000,21571390
85000,24188540
88000,36709076
91000,26760438
94000,32593343
97000,24010069
100000,32709371
