Tamaño,Tiempo
10,1441
13,1424
16,2049
19,2543
22,2510
25,3369
28,4186
31,4990
34,6030
37,7537
40,8005
43,9413
46,10064
49,11879
52,12388
55,15171
58,16201
61,17732
64,18367
67,21071
70,23359
73,24517
76,27997
79,53740
82,44214
85,45627
88,53885
91,37486
94,45487
97,54159
100,48392
100,49086
130,83095
160,118860
190,167388
220,269754
250,280694
280,385310
310,513912
340,552341
370,622977
400,719868
430,757218
460,529420
490,480778
520,541875
550,602721
580,669370
610,818990
640,1012429
670,913933
700,985006
730,1107940
760,1187963
790,1340692
820,1510680
850,1508689
880,1612356
910,1741039
940,1842355
970,2118022
1000,2046754
1000,2106012
1300,3542890
1600,5505045
1900,7963230
2200,10301467
2500,13435793
2800,17412002
3100,21505226
3400,33674624
3700,31173160
4000,35778833
4300,41419891
4600,51627228
4900,51903354
5200,58943082
5500,67101214
5800,73461922
6100,87598416
6400,89035955
6700,100412796
7000,107065866
7300,120652729
7600,134770483
7900,139834267
8200,146579570
8500,163969412
8800,171057763
9100,181433029
9400,200846057
9700,207315138
10000,220674957
10000,222542170
13000,377204551
16000,575846795
19000,794156869
22000,1084778437
25000,1392032877
28000,1756604234
31000,2150313396
34000,2614834432
37000,3077629175
40000,3594729249
43000,4177990154
46000,4729230459
49000,5374427241
52000,6050794895
55000,6809321154
58000,7548361874
61000,8415293919
64000,9217154755
67000,10340378232
70000,11036614834
73000,11946655699
76000,12948599742
79000,14068717390
82000,15133626871
85000,16249127086
88000,17371049244
91000,18675720910
94000,19884280570
97000,21271852031
100000,22480385904
