Tamaño,Tiempo
10,1249
13,967
16,1084
19,1502
22,1397
25,1413
28,1503
31,1604
34,2322
37,2342
40,2507
43,2722
46,2784
49,2945
52,2988
55,3157
58,3339
61,3440
64,3529
67,4397
70,4721
73,4720
76,4976
79,5185
82,5234
85,5526
88,5615
91,5905
94,5941
97,6351
100,6240
100,6195
130,8284
160,11121
190,12860
220,14986
250,16558
280,20812
310,23143
340,24883
370,27084
400,28832
430,30032
460,32370
490,34650
520,37769
550,43379
580,45976
610,48343
640,49650
670,52864
700,55147
730,56443
760,58394
790,60975
820,62679
850,64977
880,65962
910,68531
940,77690
970,71783
1000,75027
1000,75722
1300,107988
1600,140121
1900,152062
2200,197777
2500,220949
2800,323394
3100,298997
3400,452162
3700,313927
4000,352991
4300,407654
4600,431166
4900,454962
5200,494124
5500,583417
5800,533457
6100,604738
6400,587416
6700,610379
7000,637789
7300,677328
7600,688969
7900,735532
8200,740939
8500,986430
8800,918605
9100,921160
9400,953652
9700,977245
10000,1017402
10000,998021
13000,1311321
16000,1714381
19000,2213022
22000,2396293
25000,2744417
28000,3332144
31000,3247557
34000,4953733
37000,4356837
40000,4626496
43000,5057473
46000,5663916
49000,5522842
52000,5870908
55000,6244203
58000,6648923
61000,6826036
64000,7121950
67000,7962663
70000,8823647
73000,8922713
76000,9298050
79000,9733641
82000,9830371
85000,10680830
88000,10524815
91000,11278216
94000,11236005
97000,11864418
100000,12241126
