Tamaño,Tiempo
10,2830
13,3934
16,4811
19,5717
22,6479
25,7345
28,8340
31,9125
34,10079
37,11033
40,12155
43,13067
46,13436
49,14558
52,15663
55,16912
58,17479
61,18538
64,19449
67,20495
70,21440
73,22705
76,23160
79,24321
82,25096
85,26389
88,27626
91,28635
94,29847
97,29861
100,31123
100,30605
130,41724
160,51991
190,61143
220,73804
250,82206
280,95238
310,107111
340,117037
370,125664
400,137155
430,147979
460,158271
490,172834
520,183657
550,192466
580,216568
610,241707
640,341401
670,238538
700,251782
730,267452
760,273511
790,286516
820,299848
850,305641
880,335042
910,329549
940,340955
970,351619
1000,364740
1000,363616
1300,482235
1600,621692
1900,723892
2200,864005
2500,970555
2800,1088311
3100,1217967
3400,1364242
3700,1480694
4000,1734828
4300,1813632
4600,1951230
4900,2044987
5200,2119917
5500,2249378
5800,2461940
6100,2694684
6400,2638477
6700,2844871
7000,2923192
7300,3122078
7600,3319671
7900,3313049
8200,3461728
8500,3696042
8800,3839313
9100,3909338
9400,4000941
9700,4303953
10000,4241140
10000,4280267
13000,5521014
16000,6910100
19000,8170913
22000,9761782
25000,11034797
28000,12329745
31000,13564284
34000,15263364
37000,16538176
40000,18155855
43000,19240462
46000,29248098
49000,22147401
52000,24607237
55000,25724795
58000,26445294
61000,31247193
64000,29261266
67000,31790621
70000,34072023
73000,34016550
76000,35277021
79000,36737513
82000,38009529
85000,39502921
88000,41029383
91000,44135555
94000,44403168
97000,59004353
100000,48522955
