Tamaño,Tiempo
10,719
13,939
16,1286
19,1640
22,2052
25,2660
28,3199
31,3780
34,4532
37,5276
40,5966
43,6926
46,7707
49,8674
52,9701
55,11153
58,11866
61,12929
64,14170
67,15470
70,16682
73,18225
76,19571
79,21231
82,22300
85,24229
88,29749
91,38409
94,29154
97,31208
100,47926
100,57041
130,54536
160,85167
190,113480
220,158033
250,200998
280,255943
310,295271
340,370773
370,518423
400,480655
430,569294
460,649289
490,754600
520,835586
550,941492
580,1073802
610,1182640
640,1300618
670,1437140
700,1586442
730,1698001
760,1890942
790,2086582
820,2173333
850,2380985
880,2537934
910,2711946
940,2894447
970,3143578
1000,3307131
1000,3209568
1300,5756969
1600,8565579
1900,11909862
2200,16188878
2500,20678839
2800,26986279
3100,32655424
3400,39113312
3700,45566590
4000,53084301
4300,61041398
4600,70243935
4900,79492470
5200,89985218
5500,105940622
5800,113786629
6100,123227205
6400,134959769
6700,152106143
7000,162994858
7300,179573824
7600,202041395
7900,207485776
8200,229032732
8500,244315126
8800,258315117
9100,272756952
9400,297580735
9700,310965212
10000,336941749
10000,336617597
13000,567152128
16000,865124124
19000,1223889723
22000,1644939718
25000,2110097151
28000,2654421421
31000,3257435035
34000,3915427681
37000,4616766968
40000,5434361676
43000,6321923631
46000,7148602575
49000,8185598389
52000,9196309734
55000,10263290386
58000,11354473374
61000,13536614755
64000,14946900903
67000,16424614986
70000,17871876683
73000,19560840889
76000,21126341757
79000,22890808367
82000,24614605794
85000,26504798690
88000,28374227996
91000,30362094229
94000,32769214963
97000,35685623036
100000,38107648220
