Tamaño,Tiempo
10,1805
13,1797
16,1517
19,1923
22,2269
25,2803
28,3156
31,3567
34,4249
37,4467
40,5161
43,5777
46,6480
49,7308
52,7983
55,8891
58,9957
61,11346
64,11572
67,12511
70,13468
73,14620
76,15682
79,16777
82,18457
85,19474
88,20522
91,21704
94,23101
97,24518
100,26076
100,25902
130,42463
160,63718
190,87559
220,117271
250,149439
280,188169
310,226698
340,271768
370,342366
400,389917
430,431455
460,502428
490,625594
520,628002
550,721870
580,791331
610,881697
640,975942
670,1224767
700,1395436
730,1330131
760,1396593
790,1552540
820,1646028
850,1840506
880,1850258
910,2581568
940,3841496
970,3205671
1000,2843914
1000,3068241
1300,4698581
1600,6765211
1900,9526798
2200,12941528
2500,16962674
2800,21491262
3100,26683420
3400,30795063
3700,35928364
4000,40368291
4300,48843985
4600,55130309
4900,68886089
5200,69341848
5500,77555769
5800,94428410
6100,95242247
6400,104164009
6700,108036831
7000,127195105
7300,126464970
7600,145743308
7900,147925895
8200,162521632
8500,177728559
8800,192173473
9100,204282147
9400,202520058
9700,218621274
10000,228914038
10000,242222423
13000,408416356
16000,633412634
19000,841603172
22000,1369025441
25000,1700497142
28000,2178781797
31000,2635424175
34000,3481032453
37000,4057550566
40000,4860514712
43000,5594147707
46000,6814172932
49000,8997273055
52000,8387471968
55000,10442493997
58000,13692588947
61000,12528562416
64000,11529653817
67000,14195696567
70000,14605144062
73000,16835480890
76000,14675831067
79000,16414592578
82000,17747716695
85000,20004723314
88000,24331023383
91000,27280677270
94000,24645484114
97000,28670564564
100000,24948038869
