Tamaño,Tiempo
10,694
13,542
16,502
19,1452
22,1286
25,1555
28,1468
31,1511
34,1745
37,2674
40,2694
43,2914
46,3153
49,3203
52,3186
55,3583
58,3550
61,3603
64,3763
67,3873
70,3741
73,5304
76,6103
79,6015
82,6115
85,6385
88,6367
91,6543
94,7029
97,6995
100,7082
100,7100
130,8944
160,13710
190,15305
220,17575
250,19289
280,20529
310,28657
340,31416
370,32699
400,34704
430,37179
460,39550
490,41641
520,45691
550,44072
580,49259
610,61588
640,64196
670,65342
700,70035
730,69777
760,74640
790,82566
820,89727
850,89518
880,104378
910,86372
940,89445
970,101619
1000,101044
1000,101688
1300,142958
1600,165660
1900,194963
2200,214309
2500,297746
2800,318452
3100,354479
3400,392008
3700,518048
4000,692894
4300,502757
4600,477771
4900,634356
5200,675118
5500,681711
5800,741859
6100,829101
6400,813520
6700,861809
7000,865085
7300,927467
7600,980862
7900,988088
8200,968484
8500,1024868
8800,1141419
9100,1114778
9400,1154877
9700,1435566
10000,1404643
10000,1421402
13000,2009749
16000,2219368
19000,2946481
22000,3307897
25000,4415733
28000,4138085
31000,4521649
34000,4823913
37000,5168259
40000,6589173
43000,6994696
46000,7456467
49000,7704134
52000,8700793
55000,12612281
58000,8902602
61000,9875221
64000,10356820
67000,11105927
70000,10925690
73000,11244248
76000,13467723
79000,13769228
82000,14428210
85000,14711604
88000,15579382
91000,15805816
94000,15728302
97000,19122075
100000,20797664
