Tamaño,Tiempo
10,3771
13,6041
16,6825
19,8042
22,8870
25,10541
28,12206
31,14396
34,15923
37,11390
40,12072
43,12917
46,13888
49,15462
52,15755
55,16929
58,18009
61,18564
64,19726
67,20823
70,21696
73,22909
76,24414
79,24987
82,26033
85,27175
88,27448
91,29481
94,30156
97,30732
100,31269
100,31592
130,42635
160,52178
190,62759
220,75195
250,85019
280,100314
310,106763
340,117727
370,128274
400,139788
430,154051
460,159630
490,184520
520,185683
550,194321
580,207500
610,217253
640,229505
670,239845
700,254875
730,267270
760,273611
790,425940
820,481842
850,499335
880,414734
910,344052
940,349522
970,357800
1000,364370
1000,395598
1300,518542
1600,640056
1900,744583
2200,897271
2500,999862
2800,1258110
3100,1264479
3400,1415904
3700,1919147
4000,1736094
4300,1882766
4600,1963152
4900,2229484
5200,2856411
5500,2345923
5800,2486295
6100,2669135
6400,2827393
6700,3147173
7000,3030350
7300,3128724
7600,3896642
7900,3555216
8200,3503003
8500,4287093
8800,4283917
9100,4098459
9400,4744327
9700,4246562
10000,5149231
10000,4417453
13000,5976220
16000,7395351
19000,9507957
22000,10698334
25000,12030402
28000,13974663
31000,15503416
34000,16607184
37000,19307791
40000,18957775
43000,20849748
46000,22234500
49000,26350842
52000,25818163
55000,26956786
58000,31492300
61000,29686806
64000,29945585
67000,36627347
70000,37774046
73000,36707898
76000,37904034
79000,42454678
82000,41493493
85000,47147657
88000,50814888
91000,50861850
94000,47348782
97000,47287066
100000,49333459
