Tamaño,Tiempo
10,1994
13,2883
16,3732
19,5001
22,6901
25,8670
28,10527
31,12846
34,15181
37,18330
40,20727
43,23941
46,27510
49,31428
52,34793
55,37636
58,40449
61,43821
64,48501
67,52763
70,58023
73,63072
76,66137
79,73939
82,122011
85,89567
88,96731
91,102806
94,110890
97,116076
100,117918
100,106368
130,140576
160,245150
190,229116
220,306096
250,544593
280,582122
310,623718
340,734934
370,899380
400,1247567
430,1814416
460,1444418
490,1603456
520,2006394
550,2065396
580,2307757
610,3174244
640,3046217
670,3365878
700,3485521
730,5049144
760,4060206
790,4440779
820,5094017
850,5291094
880,5629401
910,5863015
940,6307121
970,6699370
1000,7646530
1000,8889437
1300,16814348
1600,18939517
1900,26603432
2200,36160918
2500,46629076
2800,59532085
3100,81288695
3400,89292370
3700,100784281
4000,119155684
4300,136722681
4600,169574170
4900,185808720
5200,225450730
5500,229370202
5800,249811075
6100,290554574
6400,317409451
6700,336793995
7000,387186827
7300,414192237
7600,434400091
7900,477016333
8200,504174937
8500,551674764
8800,601402728
9100,638043032
9400,691216720
9700,734194500
10000,780758489
10000,758300363
13000,1314581213
16000,2008850266
19000,2921248855
22000,4123483132
25000,5111614992
28000,5721607184
31000,6676089257
34000,8013709184
37000,10298731704
40000,11328019923
43000,13593954967
46000,17183044418
49000,16958529773
52000,27138054024
55000,25153466769
58000,28738147843
61000,28352539669
64000,39468485067
67000,35982782505
70000,32556661807
73000,34564204921
76000,37334934277
79000,40507328267
82000,44257094527
85000,47800740663
88000,53418077020
91000,56419057045
94000,67260024217
97000,62874909926
100000,66985562234
