Tamaño,Tiempo
10,793
13,754
16,883
19,1091
22,1536
25,1863
28,2203
31,2753
34,3087
37,3808
40,4116
43,4595
46,5154
49,5862
52,6673
55,7077
58,7779
61,8893
64,9475
67,10287
70,11585
73,12052
76,13156
79,16578
82,27963
85,16027
88,17059
91,18260
94,19380
97,20963
100,21772
100,22009
130,36899
160,54347
190,76154
220,101429
250,130437
280,164026
310,216303
340,239321
370,282834
400,341697
430,408340
460,556973
490,493394
520,740131
550,792793
580,740684
610,772921
640,915456
670,950602
700,1058294
730,1127466
760,1203031
790,1309241
820,1783893
850,2677226
880,2257542
910,1839029
940,1906749
970,2115548
1000,2163577
1000,2400500
1300,3710500
1600,5638393
1900,8225815
2200,10779111
2500,14763600
2800,17642530
3100,21465278
3400,25688603
3700,31810656
4000,36781288
4300,42457935
4600,48589852
4900,54229058
5200,61565578
5500,81848220
5800,80853475
6100,88587854
6400,90506287
6700,101699175
7000,119824508
7300,129481363
7600,131880769
7900,145161741
8200,152030244
8500,168402751
8800,180897802
9100,198643957
9400,204502670
9700,215829901
10000,228272416
10000,228872028
13000,405823686
16000,639153085
19000,895300632
22000,1214251369
25000,1623000816
28000,2026023324
31000,2280498820
34000,2747400878
37000,3384928664
40000,4126066718
43000,5403059417
46000,5608177078
49000,5913001887
52000,6888758877
55000,8002246278
58000,8414316897
61000,8936101834
64000,9997557904
67000,11124363123
70000,12238175662
73000,12346821209
76000,13133897995
79000,14551600509
82000,16419247966
85000,17496552419
88000,19309983051
91000,20477536749
94000,21546014176
97000,22981079878
100000,24538975523
