Tamaño,Tiempo
10,968
13,1028
16,1255
19,2043
22,2334
25,2829
28,2879
31,3190
34,3660
37,4436
40,4617
43,4877
46,5449
49,5819
52,6194
55,5850
58,6971
61,7233
64,7695
67,8364
70,8131
73,8550
76,9853
79,9901
82,10115
85,10975
88,11543
91,11849
94,12416
97,12771
100,12639
100,13106
130,17180
160,23131
190,27408
220,32027
250,59304
280,46651
310,48010
340,54538
370,59622
400,65783
430,71442
460,106346
490,101921
520,151602
550,155543
580,161382
610,195924
640,188194
670,196364
700,204725
730,217767
760,235237
790,228890
820,247081
850,259441
880,193839
910,164555
940,196341
970,234261
1000,185967
1000,193640
1300,292574
1600,314335
1900,374528
2200,465640
2500,583842
2800,587310
3100,663188
3400,726778
3700,824531
4000,923088
4300,1200297
4600,1058497
4900,1251537
5200,1250721
5500,1275029
5800,1395631
6100,1497437
6400,1714691
6700,1695846
7000,1714480
7300,1726129
7600,1844917
7900,1904059
8200,3043485
8500,2192144
8800,2143044
9100,2271351
9400,2719216
9700,2481358
10000,2680819
10000,2492198
13000,3612359
16000,4219740
19000,6509298
22000,6781947
25000,6871690
28000,7985718
31000,10076463
34000,12079057
37000,12527232
40000,13575747
43000,13245817
46000,14093200
49000,15738405
52000,16724262
55000,16766229
58000,17751798
61000,19253664
64000,20376978
67000,20375324
70000,23287741
73000,23261977
76000,25936931
79000,25988003
82000,25492109
85000,28493313
88000,30228542
91000,29540082
94000,30389327
97000,31717685
100000,32199214
