Tamaño,Tiempo
10,3383
13,4509
16,5452
19,6353
22,6924
25,8232
28,9442
31,10435
34,11771
37,12925
40,13882
43,15296
46,15980
49,17560
52,18722
55,20141
58,21786
61,21652
64,23225
67,23946
70,25840
73,26391
76,27749
79,28211
82,29317
85,30851
88,32260
91,32944
94,34066
97,35294
100,36715
100,36306
130,49429
160,61701
190,84115
220,87677
250,101239
280,113599
310,127128
340,139364
370,191930
400,251246
430,186394
460,193079
490,204399
520,227768
550,235986
580,247013
610,263988
640,285708
670,288657
700,302741
730,322629
760,388315
790,392437
820,459854
850,550139
880,633857
910,420293
940,445204
970,443532
1000,458778
1000,589860
1300,641632
1600,755420
1900,899801
2200,1073911
2500,1212018
2800,1393802
3100,2053689
3400,1882311
3700,2007840
4000,2054394
4300,2179162
4600,2734123
4900,2939715
5200,2822446
5500,2865565
5800,3496233
6100,3425592
6400,3384157
6700,3679915
7000,3830681
7300,3992353
7600,4503274
7900,4873817
8200,4377037
8500,4811728
8800,4863695
9100,5322208
9400,5196642
9700,5296455
10000,7300368
10000,6714302
13000,7036669
16000,10494992
19000,12179025
22000,14110472
25000,14203277
28000,17439125
31000,19747990
34000,22002007
37000,23425790
40000,25577918
43000,28191755
46000,30048014
49000,30910095
52000,36465985
55000,32859746
58000,38033865
61000,39314572
64000,40173382
67000,43536825
70000,46317194
73000,47940527
76000,49036389
79000,51046902
82000,57101258
85000,54268436
88000,57529021
91000,60838410
94000,59061807
97000,66051821
100000,64936271
