Tamaño,Tiempo
10,526
13,784
16,1049
19,1406
22,1659
25,1920
28,2359
31,2679
34,2830
37,2961
40,3453
43,4128
46,4273
49,4561
52,4913
55,5048
58,5950
61,5610
64,6073
67,6633
70,6716
73,7014
76,7776
79,7825
82,8315
85,8640
88,9393
91,9290
94,9106
97,9987
100,10156
100,10184
130,14858
160,17939
190,24929
220,27572
250,31534
280,36259
310,41865
340,44633
370,51521
400,54900
430,60084
460,64065
490,66601
520,76056
550,81572
580,87475
610,91788
640,94265
670,103293
700,107905
730,117844
760,127143
790,122364
820,124011
850,152125
880,193171
910,178602
940,154415
970,160682
1000,172592
1000,178847
1300,325778
1600,278082
1900,322918
2200,414496
2500,495901
2800,617312
3100,601735
3400,669368
3700,729202
4000,776820
4300,974847
4600,1022716
4900,986166
5200,1048859
5500,1112498
5800,1192205
6100,1361057
6400,1348556
6700,1380494
7000,1452205
7300,1672791
7600,1584729
7900,1701567
8200,1928603
8500,1933719
8800,1976248
9100,2534683
9400,2942466
9700,2203482
10000,2274073
10000,2896103
13000,3649573
16000,3789675
19000,6077302
22000,6033060
25000,6756072
28000,7530072
31000,8438779
34000,9144981
37000,10202778
40000,10533313
43000,11916510
46000,12209339
49000,13546961
52000,16713221
55000,14664726
58000,17268334
61000,19379071
64000,17964282
67000,19660982
70000,20494481
73000,22358059
76000,23373958
79000,23587192
82000,24363783
85000,23428529
88000,27584311
91000,25535749
94000,27428743
97000,30786763
100000,29680545
