Tamaño,Tiempo
10,1873
13,1970
16,2238
19,2944
22,3653
25,3975
28,5026
31,5944
34,6449
37,7498
40,9345
43,9521
46,10654
49,12047
52,14174
55,14209
58,15604
61,16557
64,18375
67,20065
70,21295
73,23147
76,24146
79,26448
82,27852
85,29986
88,32446
91,33820
94,36534
97,38082
100,40048
100,39828
130,62982
160,91669
190,169698
220,165107
250,223755
280,308561
310,314005
340,423704
370,437595
400,506787
430,608305
460,702722
490,808530
520,1024568
550,973426
580,1098037
610,1314849
640,1522706
670,1407724
700,1624563
730,1822856
760,1819206
790,1978412
820,2523752
850,4224231
880,3654301
910,2686010
940,3130089
970,2970973
1000,3318159
1000,3236353
1300,5816359
1600,8187505
1900,16308557
2200,15342471
2500,23930604
2800,27206825
3100,43547116
3400,40708704
3700,57554335
4000,62269367
4300,74108522
4600,90564893
4900,95224740
5200,110493723
5500,120188838
5800,126668871
6100,152284267
6400,155554591
6700,172825043
7000,201252778
7300,196529294
7600,222386559
7900,225080384
8200,252582827
8500,234990631
8800,256701184
9100,250653827
9400,274737427
9700,286941862
10000,270742209
10000,282094049
13000,497288059
16000,783412730
19000,1084140973
22000,1548474885
25000,2518624815
28000,2362020258
31000,3450120794
34000,4812449213
37000,5190403025
40000,5500824110
43000,7330515750
46000,8743025152
49000,9749460584
52000,7809378918
55000,8270687230
58000,9184224484
61000,10038104304
64000,10980935987
67000,15231613301
70000,20482648640
73000,18152217982
76000,21992995721
79000,23988575637
82000,18984739784
85000,20912397722
88000,22650438333
91000,24380257195
94000,24359112345
97000,26687071233
100000,25997147045
